sentence_grammatical,sentence_ungrammatical,phenomenon,paradigm,pair_ID,LS_diff,source,Good ID,Bad ID,LS_grammatical,LS_ungrammatical,LS_diff
Judy convinced Edith that she will have forgotten about Rick by the time Christmas comes around.,Judy convinced Edith that she would have forgotten about Rick by the time Christmas comes around.,LI-Adger,LI-Adger,36,0.317768953602564,Sprouse,32.1.martin.27b.g.05,32.1.martin.28b.??.05,0.7450489697692307,0.4272800161666667,0.317768953602564
Jan convinced Emile that he will have gotten better by the time he has to go to school.,Jan convinced Emile that he would have gotten better by the time he has to go to school.,LI-Adger,LI-Adger,37,0.0047370829807692,Sprouse,32.1.martin.27b.g.06,32.1.martin.28b.??.06,0.18310771075,0.1783706277692307,0.0047370829807692
The father convinced the mother that she will have forgiven her daughter by the time she comes home for a visit.,The father convinced the mother that she would have forgiven her daughter by the time she comes home for a visit.,LI-Adger,LI-Adger,38,0.4325660450576923,Sprouse,32.1.martin.27b.g.07,32.1.martin.28b.??.07,0.1793690673076922,-0.25319697775,0.4325660450576923
The principal convinced the teacher that he will have finished grading before he goes on vacation.,The principal convinced the teacher that he would have finished grading before he goes on vacation.,LI-Adger,LI-Adger,39,0.9997508636923076,Sprouse,32.1.martin.27b.g.08,32.1.martin.28b.??.08,0.982568456,-0.0171824076923076,0.9997508636923076
Gino believed Rebecca to be the best.,Gino believed Rebecca to win the game.,LI-Adger,LI-Adger,40,1.1017535050699303,Sprouse,32.1.martin.23a.g.01,32.1.martin.39a.*.01,0.7299533426153848,-0.3718001624545454,1.1017535050699303
Anthony believed Dawn to be intelligent.,Anthony believed Dawn to hit the ball.,LI-Adger,LI-Adger,41,1.1560662480769233,Sprouse,32.1.martin.23a.g.02,32.1.martin.39a.*.02,0.8697147396153848,-0.2863515084615384,1.1560662480769233
Charlene believed Shawn to be helpful.,Charlene believed Shawn to write the paper.,LI-Adger,LI-Adger,42,1.1579958027692308,Sprouse,32.1.martin.23a.g.03,32.1.martin.39a.*.03,0.8735487962307693,-0.2844470065384615,1.1579958027692308
Marty believed Carla to be trustworthy.,Marty believed Carla to fix the computer.,LI-Adger,LI-Adger,43,2.078492583692308,Sprouse,32.1.martin.23a.g.04,32.1.martin.39a.*.04,1.2201400936153846,-0.858352490076923,2.078492583692308
Jessica believed Brad to be vain.,Jessica believed Brad to start the car.,LI-Adger,LI-Adger,44,1.433308665846154,Sprouse,32.1.martin.23a.g.05,32.1.martin.39a.*.05,0.6764617936153846,-0.7568468722307693,1.433308665846154
Charles believed Faith to be unhappy.,Charles believed Faith to smash the bag.,LI-Adger,LI-Adger,45,1.1208020121538462,Sprouse,32.1.martin.23a.g.06,32.1.martin.39a.*.06,0.9064703032307692,-0.2143317089230769,1.1208020121538462
Lacey believed John to be jealous.,Lacey believed John to eat the food.,LI-Adger,LI-Adger,46,1.2290686143846157,Sprouse,32.1.martin.23a.g.07,32.1.martin.39a.*.07,0.6758531753076922,-0.5532154390769232,1.2290686143846157
Victor believed Dana to be the youngest.,Victor believed Dana to throw the trash.,LI-Adger,LI-Adger,47,1.3099197050209792,Sprouse,32.1.martin.23a.g.08,32.1.martin.39a.*.08,0.7602843896363637,-0.5496353153846154,1.3099197050209792
John believes without a doubt that his team will win.,John believes without a doubt his team will win.,LI-Adger,LI-Adger,48,0.53758089825,Sprouse,32.1.martin.65a.g.01,32.1.martin.65b.*.01,1.29564769,0.75806679175,0.53758089825
Emma thought for a moment that her friend was at the door.,Emma thought for a moment her friend was at the door.,LI-Adger,LI-Adger,49,-0.0090249764358973,Sprouse,32.1.martin.65a.g.02,32.1.martin.65b.*.02,0.8273219393333334,0.8363469157692308,-0.0090249764358973
Bill heard from Sarah that their boss was fired.,Bill heard from Sarah their boss was fired.,LI-Adger,LI-Adger,50,0.8358994722115385,Sprouse,32.1.martin.65a.g.03,32.1.martin.65b.*.03,0.9835022294615384,0.14760275725,0.8358994722115385
Ashley suggested to Michael that he should throw a party.,Ashley suggested to Michael he should throw a party.,LI-Adger,LI-Adger,51,0.0710801443076923,Sprouse,32.1.martin.65a.g.04,32.1.martin.65b.*.04,0.8056544096923077,0.7345742653846153,0.0710801443076923
Thomas read in the paper that the stock market crashed.,Thomas read in the paper the stock market crashed.,LI-Adger,LI-Adger,52,0.7091075134615386,Sprouse,32.1.martin.65a.g.05,32.1.martin.65b.*.05,1.011997878923077,0.3028903654615385,0.7091075134615386
Jessica saw on the news that Michael Jackson died.,Jessica saw on the news Michael Jackson died.,LI-Adger,LI-Adger,53,0.2492259490769233,Sprouse,32.1.martin.65a.g.06,32.1.martin.65b.*.06,1.0050094763846156,0.7557835273076923,0.2492259490769233
David learned from the internet that Lindsay Lohan is back in rehab.,David learned from the internet Lindsay Lohan is back in rehab.,LI-Adger,LI-Adger,54,0.8031315359230768,Sprouse,32.1.martin.65a.g.07,32.1.martin.65b.*.07,1.1820819296153846,0.3789503936923077,0.8031315359230768
Amanda hinted to Jack that there will be a pop quiz on Monday.,Amanda hinted to Jack there will be a pop quiz on Monday.,LI-Adger,LI-Adger,55,0.2709718294615384,Sprouse,32.1.martin.65a.g.08,32.1.martin.65b.*.08,1.065927505,0.7949556755384617,0.2709718294615384
It is illegal for one to criticize the government.,It is illegal one to criticize the government.,LI-Adger,LI-Adger,56,1.925421102153846,Sprouse,32.1.martin.66a.g.01,32.1.martin.66b.*.01,1.0397874435384615,-0.8856336586153846,1.925421102153846
It is not wise for one to skip class.,It is not wise one to skip class.,LI-Adger,LI-Adger,57,1.6713825953076924,Sprouse,32.1.martin.66a.g.02,32.1.martin.66b.*.02,1.107859896,-0.5635226993076924,1.6713825953076924
It is important for one to sleep regularly. ,It is important one to sleep regularly. ,LI-Adger,LI-Adger,58,2.2866043352027976,Sprouse,32.1.martin.66a.g.03,32.1.martin.66b.*.03,1.294235262818182,-0.9923690723846152,2.2866043352027976
It is suspicious for one to wear black.,It is suspicious one to wear black.,LI-Adger,LI-Adger,59,1.8436264217132867,Sprouse,32.1.martin.66a.g.04,32.1.martin.66b.*.04,0.7077727096363637,-1.135853712076923,1.8436264217132867
It is silly for one to sing in the shower.,It is silly one to sing in the shower.,LI-Adger,LI-Adger,60,2.0103860673356646,Sprouse,32.1.martin.66a.g.05,32.1.martin.66b.*.05,1.1869692041538462,-0.8234168631818182,2.0103860673356646
It is possible for one to fix past mistakes.,It is possible one to fix past mistakes.,LI-Adger,LI-Adger,61,2.278073162923077,Sprouse,32.1.martin.66a.g.06,32.1.martin.66b.*.06,1.2898715302307695,-0.9882016326923077,2.278073162923077
It is normal for one to be afraid of the dentist. ,It is normal one to be afraid of the dentist. ,LI-Adger,LI-Adger,62,1.294593637153846,Sprouse,32.1.martin.66a.g.07,32.1.martin.66b.*.07,1.0288518132307691,-0.2657418239230769,1.294593637153846
It is unfair for one to judge the less fortunate.,It is unfair one to judge the less fortunate.,LI-Adger,LI-Adger,63,1.4934905015384614,Sprouse,32.1.martin.66a.g.08,32.1.martin.66b.*.08,1.1167078506923076,-0.3767826508461537,1.4934905015384614
My belief that Kim is clever is sincere.,My belief Kim is clever is sincere.,LI-Adger,LI-Adger,64,0.519575685198718,Sprouse,32.1.martin.69a.g.01,32.1.martin.69b.*.01,0.1480830826153846,-0.3714926025833333,0.519575685198718
The thought that Brian is inept is accurate.,The thought Brian is inept is accurate.,LI-Adger,LI-Adger,65,1.266046303044872,Sprouse,32.1.martin.69a.g.02,32.1.martin.69b.*.02,1.0954741265833334,-0.1705721764615384,1.266046303044872
The announcement that Michelle is retiring surprised the office.,The announcement Michelle is retiring surprised the office.,LI-Adger,LI-Adger,66,0.8608632209294873,Sprouse,32.1.martin.69a.g.03,32.1.martin.69b.*.03,1.115465364846154,0.2546021439166666,0.8608632209294873
My discovery that Nick is a liar disappointed Miranda.,My discovery Nick is a liar disappointed Miranda.,LI-Adger,LI-Adger,67,1.322048497,Sprouse,32.1.martin.69a.g.04,32.1.martin.69b.*.04,0.7001160221666667,-0.6219324748333334,1.322048497
The expectation that Lauren will graduate is reasonable.,The expectation Lauren will graduate is reasonable.,LI-Adger,LI-Adger,68,0.9039883227435898,Sprouse,32.1.martin.69a.g.05,32.1.martin.69b.*.05,1.1945425256666666,0.2905542029230769,0.9039883227435898
My suspicion that Adam is cheating is based on evidence.,My suspicion Adam is cheating is based on evidence.,LI-Adger,LI-Adger,69,0.6453319163076924,Sprouse,32.1.martin.69a.g.06,32.1.martin.69b.*.06,1.0360324213076924,0.390700505,0.6453319163076924
Your assumption that Kelly is lying offended her mother.,Your assumption Kelly is lying offended her mother.,LI-Adger,LI-Adger,70,0.9090425678461538,Sprouse,32.1.martin.69a.g.07,32.1.martin.69b.*.07,0.6169355658461538,-0.292107002,0.9090425678461538
Your allegation that Eric is untrustworthy is biased.,Your allegation Eric is untrustworthy is biased.,LI-Adger,LI-Adger,71,1.818502121852564,Sprouse,32.1.martin.69a.g.08,32.1.martin.69b.*.08,1.1630412150833334,-0.6554609067692307,1.818502121852564
How likely to win the race is John?,How likely to be a riot is there?,LI-Adger,LI-Adger,72,0.6569512512307693,Sprouse,32.1.martin.77.g.01,32.1.martin.79.*.01,0.2767985027692308,-0.3801527484615384,0.6569512512307693
How likely to get the promotion is Elizabeth?,How likely to be a meeting is there?,LI-Adger,LI-Adger,73,0.3880582355244755,Sprouse,32.1.martin.77.g.02,32.1.martin.79.*.02,-0.238496224090909,-0.6265544596153846,0.3880582355244755
How likely to win the election is Kristin?,How likely to be a strike is there?,LI-Adger,LI-Adger,74,0.2516566053216783,Sprouse,32.1.martin.77.g.03,32.1.martin.79.*.03,-0.0022249217692307,-0.253881527090909,0.2516566053216783
How likely to buy the car is Sam?,How likely to be a party is there?,LI-Adger,LI-Adger,75,-0.4050484985384616,Sprouse,32.1.martin.77.g.04,32.1.martin.79.*.04,-0.2808925110769231,0.1241559874615384,-0.4050484985384616
How likely to sell the house is Diane?,How likely to be a stock market crash is there?,LI-Adger,LI-Adger,76,0.2381247831538462,Sprouse,32.1.martin.77.g.05,32.1.martin.79.*.05,-0.2738318175384615,-0.5119566006923078,0.2381247831538462
How likely to pass the class is Alex?,How likely to be a storm is there?,LI-Adger,LI-Adger,77,0.3175735484615385,Sprouse,32.1.martin.77.g.06,32.1.martin.79.*.06,0.1534864861538462,-0.1640870623076923,0.3175735484615385
How likely to break the record is Ellen?,How likely to be an earthquake is there?,LI-Adger,LI-Adger,78,0.8286863962307691,Sprouse,32.1.martin.77.g.07,32.1.martin.79.*.07,0.2165725759999999,-0.6121138202307692,0.8286863962307691
How likely to take the job is Nancy?,How likely to be a tornado is there?,LI-Adger,LI-Adger,79,-0.1164940352307694,Sprouse,32.1.martin.77.g.08,32.1.martin.79.*.08,-0.5666298511538463,-0.4501358159230769,-0.1164940352307694
John is believed to have parked here.,John is illegal to park here.,LI-Adger,LI-Adger,80,1.534092650897436,Sprouse,32.1.martin.92b.g.01,32.1.martin.93b.*.01,0.6145551292307693,-0.9195375216666668,1.534092650897436
Linda is certain to have passed the test.,Linda is possible to pass the test.,LI-Adger,LI-Adger,81,1.7676419275833335,Sprouse,32.1.martin.92b.g.02,32.1.martin.93b.*.02,0.9780418975833332,-0.7896000300000001,1.7676419275833335
Steven is likely to have gone for a walk.,Steven is necessary to go for a walk.,LI-Adger,LI-Adger,82,1.925096521942308,Sprouse,32.1.martin.92b.g.03,32.1.martin.93b.*.03,0.8788195276923076,-1.04627699425,1.925096521942308
Maria is bound to have finished her homework.,Maria is important to finish her homework.,LI-Adger,LI-Adger,83,1.8214083727243588,Sprouse,32.1.martin.92b.g.04,32.1.martin.93b.*.04,0.6950119044166666,-1.1263964683076924,1.8214083727243588
Eddie seems to have painted the portrait.,Eddie was tried to paint the portrait.,LI-Adger,LI-Adger,84,1.166074339051282,Sprouse,32.1.martin.92b.g.05,32.1.martin.93b.*.05,0.8352535393846154,-0.3308207996666665,1.166074339051282
Kelsey appears to have left early.,Kelsey was attempted to leave early.,LI-Adger,LI-Adger,85,1.8518796799166668,Sprouse,32.1.martin.92b.g.06,32.1.martin.93b.*.06,0.99356101025,-0.8583186696666666,1.8518796799166668
Dylan seems to have written the computer program. ,Dylan was planned to write the computer program.,LI-Adger,LI-Adger,86,1.573610592032051,Sprouse,32.1.martin.92b.g.07,32.1.martin.93b.*.07,1.0347160904166663,-0.5388945016153847,1.573610592032051
Carla appears to have graduated high school.,Carla was hoped to graduate high school.,LI-Adger,LI-Adger,87,1.0264759425384615,Sprouse,32.1.martin.92b.g.08,32.1.martin.93b.*.08,0.7036738314615385,-0.3228021110769231,1.0264759425384615
"""Don't touch that dial!"" suggested the TV screen abruptly.","""Don't touch that dial!"" suggested abruptly the TV screen.",LI-Adger,LI-Adger,88,0.9906769803076924,Sprouse,32.2.alexiadou.31b.g.01,32.2.alexiadou.31a.*.01,0.4162292765384615,-0.5744477037692308,0.9906769803076924
鈥淲ait one moment please!鈥� asked the voice recording kindly.,鈥淲ait one moment please!鈥� asked kindly the voice recording.,LI-Adger,LI-Adger,89,0.2050876400128205,Sprouse,32.2.alexiadou.31b.g.02,32.2.alexiadou.31a.*.02,0.1056201001666666,-0.0994675398461538,0.2050876400128205
鈥淭his just in!鈥� interrupted the radio announcer hastily.,鈥淭his just in!鈥� interrupted hastily the radio announcer.,LI-Adger,LI-Adger,90,0.7181212531987178,Sprouse,32.2.alexiadou.31b.g.03,32.2.alexiadou.31a.*.03,0.7047329076153844,-0.0133883455833333,0.7181212531987178
"鈥淩eady, aim, fire!鈥� directed the army sergeant strictly.","鈥淩eady, aim, fire!鈥� directed strictly the army sergeant.",LI-Adger,LI-Adger,91,0.6875002025961539,Sprouse,32.2.alexiadou.31b.g.04,32.2.alexiadou.31a.*.04,0.41514883575,-0.2723513668461538,0.6875002025961539
鈥淐lick it or Ticket!鈥� flashed the freeway sign brightly.,鈥淐lick it or Ticket!鈥� flashed brightly the freeway sign.,LI-Adger,LI-Adger,92,0.848697491275641,Sprouse,32.2.alexiadou.31b.g.05,32.2.alexiadou.31a.*.05,0.9671203056923076,0.1184228144166667,0.848697491275641
鈥淪top bullying me!鈥� shouted the overweight child fearfully.,鈥淪top bullying me!鈥� shouted fearfully the overweight child.,LI-Adger,LI-Adger,93,0.4440648864615384,Sprouse,32.2.alexiadou.31b.g.06,32.2.alexiadou.31a.*.06,0.7026966874615385,0.258631801,0.4440648864615384
鈥淭ouchdown!鈥� screamed the football fan excitedly.,鈥淭ouchdown!鈥� screamed excitedly the football fan.,LI-Adger,LI-Adger,94,1.297639856923077,Sprouse,32.2.alexiadou.31b.g.07,32.2.alexiadou.31a.*.07,0.824053389,-0.4735864679230768,1.297639856923077
鈥淐lear!鈥� exclaimed the doctor worriedly.,鈥淐lear!鈥� exclaimed worriedly the doctor.,LI-Adger,LI-Adger,95,0.6912313032307692,Sprouse,32.2.alexiadou.31b.g.08,32.2.alexiadou.31a.*.08,0.6793443886153846,-0.0118869146153846,0.6912313032307692
"Debbie ate chocolate, and Kathy drank milk.","Debbie ate chocolate, and Kathy milk drank.",LI-Adger,LI-Adger,96,1.539026807,Sprouse,32.2.boeckx.11.g.01,32.2.boeckx.11.*.01,1.1248911022307693,-0.4141357047692307,1.539026807
"Ryan read the sports page, and Sandra watched the news.","Ryan read the sports page, and Sandra the news watched.",LI-Adger,LI-Adger,97,1.7819485303846152,Sprouse,32.2.boeckx.11.g.02,32.2.boeckx.11.*.02,1.3183106449230768,-0.4636378854615384,1.7819485303846152
"Jack washed the dishes, and Kate folded the laundry.","Jack washed the dishes, and Kate the laundry folded.",LI-Adger,LI-Adger,98,2.186917941615385,Sprouse,32.2.boeckx.11.g.03,32.2.boeckx.11.*.03,1.206289892,-0.9806280496153844,2.186917941615385
"Laura set the table, and Sharon baked the cake.","Laura set the table, and Sharon the cake baked.",LI-Adger,LI-Adger,99,1.752706773825175,Sprouse,32.2.boeckx.11.g.04,32.2.boeckx.11.*.04,0.7356527163636364,-1.0170540574615383,1.752706773825175
"Mark turned on the TV, and Penny loaded the DVD player.","Mark turned on the TV, and Penny the DVD player loaded.",LI-Adger,LI-Adger,100,1.9915389282307692,Sprouse,32.2.boeckx.11.g.05,32.2.boeckx.11.*.05,1.0878991592307694,-0.903639769,1.9915389282307692
"Jason drove his car, and Tara rode her bike.","Jason drove his car, and Tara her bike rode.",LI-Adger,LI-Adger,101,1.2006681796923078,Sprouse,32.2.boeckx.11.g.06,32.2.boeckx.11.*.06,0.9022641962307693,-0.2984039834615384,1.2006681796923078
"Andy ordered a cheeseburger, and Bill requested another drink.","Andy ordered a cheeseburger, and Bill another drink requested.",LI-Adger,LI-Adger,102,1.917140035153846,Sprouse,32.2.boeckx.11.g.07,32.2.boeckx.11.*.07,1.174372651384615,-0.7427673837692306,1.917140035153846
"Heather dusted the shelves, and Madison vacuumed the carpet.","Heather dusted the shelves, and Madison the carpet vacuumed.",LI-Adger,LI-Adger,103,2.012909805692308,Sprouse,32.2.boeckx.11.g.08,32.2.boeckx.11.*.08,1.0222612425384616,-0.9906485631538462,2.012909805692308
John was kissed.,Was kissed John.,LI-Adger,LI-Adger,104,,Sprouse,32.2.nunes.3a1.g.01,32.2.nunes.3b.*.01,,-1.28255077,
Marcie was fired.,Was fired Marcie.,LI-Adger,LI-Adger,105,,Sprouse,32.2.nunes.3a1.g.02,32.2.nunes.3b.*.02,,-1.4853307652307692,
Linda was hired.,Was hired Linda.,LI-Adger,LI-Adger,106,,Sprouse,32.2.nunes.3a1.g.03,32.2.nunes.3b.*.03,,-1.141041435166667,
Dale was suspended.,Was suspended Dale.,LI-Adger,LI-Adger,107,,Sprouse,32.2.nunes.3a1.g.04,32.2.nunes.3b.*.04,,-0.8170112531666666,
Caroline was congratulated.,Was congratulated Caroline.,LI-Adger,LI-Adger,108,,Sprouse,32.2.nunes.3a1.g.05,32.2.nunes.3b.*.05,,-1.241557246692308,
Steve was scolded.,Was scolded Steve.,LI-Adger,LI-Adger,109,,Sprouse,32.2.nunes.3a1.g.06,32.2.nunes.3b.*.06,,-0.9183402773076924,
Hillary was interviewed.,Was interviewed Hillary.,LI-Adger,LI-Adger,110,,Sprouse,32.2.nunes.3a1.g.07,32.2.nunes.3b.*.07,,-1.0736035566666666,
Annie was insulted.,Was insulted Annie.,LI-Adger,LI-Adger,111,,Sprouse,32.2.nunes.3a1.g.08,32.2.nunes.3b.*.08,,-1.118806504923077,
John was kissed.,John was kissed John.,LI-Adger,LI-Adger,112,,Sprouse,32.2.nunes.3a2.g.01,32.2.nunes.3c.*.01,,-1.2701124701538464,
The book was read.,The book was read the book.,LI-Adger,LI-Adger,113,,Sprouse,32.2.nunes.3a2.g.02,32.2.nunes.3c.*.02,,-1.19933600025,
The laundry was folded.,The laundry was folded the laundry.,LI-Adger,LI-Adger,114,,Sprouse,32.2.nunes.3a2.g.03,32.2.nunes.3c.*.03,,-1.526100439923077,
