sentence_grammatical,sentence_ungrammatical,source,paradigm,phenomenon,LS_grammatical,LS_ungrammatical,LS_diff,pair_ID
This dancer scans at least ten commentaries.,No dancer scans at least ten commentaries.,blimp,superlative_quantifiers_2,quantifiers,,,,14
That rabbit has found at least six mountains.,No rabbit has found at least six mountains.,blimp,superlative_quantifiers_2,quantifiers,,,,15
Each senator was climbing down at least eight ladders.,No senator was climbing down at least eight ladders.,blimp,superlative_quantifiers_2,quantifiers,,,,16
Each student complained about at least nine waiters.,No student complained about at least nine waiters.,blimp,superlative_quantifiers_2,quantifiers,,,,17
An actor lifts at least six peppers.,No actor lifts at least six peppers.,blimp,superlative_quantifiers_2,quantifiers,,,,18
Every waiter climbed down at least six stairs.,No waiter climbed down at least six stairs.,blimp,superlative_quantifiers_2,quantifiers,,,,19
Who aren't Roger's partners who respected the art galleries aggravating?,Who aren't the art galleries aggravating Roger's partners who respected?,blimp,complex_NP_island,island_effects,,,,20
What aren't Clyde's classmates who were escaping from those doctors noticing?,What aren't those doctors noticing Clyde's classmates who were escaping from?,blimp,complex_NP_island,island_effects,,,,21
Who had Alan's doctor who hadn't disturbed Christopher aggravated?,Who had Christopher aggravated Alan's doctor who hadn't disturbed?,blimp,complex_NP_island,island_effects,,,,22
Who hadn't that brother of Walter that hates Galileo revealed?,Who hadn't Galileo revealed that brother of Walter that hates?,blimp,complex_NP_island,island_effects,,,,23
Who weren't Bill's partners that hid those public parks distracting?,Who weren't those public parks distracting Bill's partners that hid?,blimp,complex_NP_island,island_effects,,,,24
Who wasn't that actress who concealed Donald's contractor talking to?,Who wasn't Donald's contractor talking to that actress who concealed?,blimp,complex_NP_island,island_effects,,,,25
What aren't most people's podiatrists who complained about Timothy's plumbers fleeing from?,What aren't Timothy's plumbers fleeing from most people's podiatrists who complained about?,blimp,complex_NP_island,island_effects,,,,26
Who aren't most doctors who hadn't complained about most daughters of Lissa approaching?,Who aren't most daughters of Lissa approaching most doctors who hadn't complained about?,blimp,complex_NP_island,island_effects,,,,27
Who isn't Barbara's ex-husband that talks about Heidi firing?,Who isn't Heidi firing Barbara's ex-husband that talks about?,blimp,complex_NP_island,island_effects,,,,28
Who hadn't the Impressionists' senators who saw Richard worried?,Who hadn't Richard worried the Impressionists' senators who saw?,blimp,complex_NP_island,island_effects,,,,29
Douglas went to this concealed oasis.,Douglas went to this concealed oases.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,30
These governments have referenced that bad analysis.,These governments have referenced that bad analyses.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,31
Nina wouldn't like this white foot.,Nina wouldn't like this white feet.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,32
Most turtles annoy that unemployed woman.,Most turtles annoy that unemployed women.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,33
Jerry shouldn't listen to those serious alumni.,Jerry shouldn't listen to those serious alumnus.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,34
A lot of actresses had walked through that yellow oasis.,A lot of actresses had walked through that yellow oases.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,35
Tammy wasn't confusing that standing man.,Tammy wasn't confusing that standing men.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,36
Many actresses conceal these long analyses.,Many actresses conceal these long analysis.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,37
Carla hugged those young children.,Carla hugged those young child.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,38
That sock hurts these sick men.,That sock hurts these sick man.,blimp,determiner_noun_agreement_with_adj_irregular_1,determiner_noun_agreement,,,,39
Tina had cured herself.,Tina had cured itself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,40
Colleen talks to herself.,Colleen talks to itself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,41
Teresa was observing herself.,Teresa was observing himself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,42
Harvard University was scaring itself.,Harvard University was scaring himself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,43
Christopher hadn't concealed himself.,Christopher hadn't concealed itself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,44
April has hired herself.,April has hired himself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,45
Joel does complain about himself.,Joel does complain about herself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,46
That actress will irritate herself.,That actress will irritate itself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,47
Sheila was noticing herself.,Sheila was noticing himself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,48
Sherry wouldn't cure herself.,Sherry wouldn't cure itself.,blimp,anaphor_gender_agreement,anaphor_agreement,,,,49
William's ex-wives communicate.,William's ex-wives returned to.,blimp,intransitive,argument_structure,,,,50
Some tomatoes aren't charring.,Some tomatoes aren't looking like.,blimp,intransitive,argument_structure,,,,51
A lot of cousins of Michael benefit.,A lot of cousins of Michael find.,blimp,intransitive,argument_structure,,,,52
Patricia's guests laugh.,Patricia's guests fired.,blimp,intransitive,argument_structure,,,,53
Most children aren't competing.,Most children aren't driving to.,blimp,intransitive,argument_structure,,,,54
Monet compromises.,Monet worked with.,blimp,intransitive,argument_structure,,,,55
Those guests' associate scratches.,Those guests' associate arrived at.,blimp,intransitive,argument_structure,,,,56
A lot of cucumbers bake.,A lot of cucumbers resemble.,blimp,intransitive,argument_structure,,,,57
Alexander hasn't shrugged.,Alexander hasn't fired.,blimp,intransitive,argument_structure,,,,58
Every light dims.,Every light looked like.,blimp,intransitive,argument_structure,,,,59
Becky's French teacher shouldn't find there to be a hospital donating.,Becky's French teacher shouldn't sway there to be a hospital donating.,blimp,existential_there_object_raising,control_raising,,,,60
Some cousins of Debra haven't ascertained there to be fewer than three governments inducing Kendra to argue.,Some cousins of Debra haven't spurred there to be fewer than three governments inducing Kendra to argue.,blimp,existential_there_object_raising,control_raising,,,,61
An organization will judge there to be a drawing looking like every dog.,An organization will oblige there to be a drawing looking like every dog.,blimp,existential_there_object_raising,control_raising,,,,62
Some library considers there to be few pictures of Nancy hurting Winston Churchill.,Some library required there to be few pictures of Nancy hurting Winston Churchill.,blimp,existential_there_object_raising,control_raising,,,,63
Michelle hasn't ascertained there to be some museums managing to benefit.,Michelle hasn't commissioned there to be some museums managing to benefit.,blimp,existential_there_object_raising,control_raising,,,,64
Steve wouldn't find there to be a hospital explaining everything.,Steve wouldn't implore there to be a hospital explaining everything.,blimp,existential_there_object_raising,control_raising,,,,65
Bruce's teachers need there to be a cat waking up.,Bruce's teachers ordered there to be a cat waking up.,blimp,existential_there_object_raising,control_raising,,,,66
Carmen was anticipating there to be a committee interacting.,Carmen was enticing there to be a committee interacting.,blimp,existential_there_object_raising,control_raising,,,,67
Theses predicted there to be many schools changing.,Theses persuade there to be many schools changing.,blimp,existential_there_object_raising,control_raising,,,,68
A lot of museums needed there to be a lot of drivers lifting that fish.,A lot of museums pressure there to be a lot of drivers lifting that fish.,blimp,existential_there_object_raising,control_raising,,,,69
Every play about the Great Lakes isn't there impressing Elaine.,There isn't every play about the Great Lakes impressing Elaine.,blimp,existential_there_quantifiers_2,quantifiers,,,,70
Each bicycle isn't there disgusting Jerry.,There isn't each bicycle disgusting Jerry.,blimp,existential_there_quantifiers_2,quantifiers,,,,71
Each picture wasn't there annoying most teachers.,There wasn't each picture annoying most teachers.,blimp,existential_there_quantifiers_2,quantifiers,,,,72
Most shows about literature are there boring Christina.,There are most shows about literature boring Christina.,blimp,existential_there_quantifiers_2,quantifiers,,,,73
All icicles aren't there disappearing.,There aren't all icicles disappearing.,blimp,existential_there_quantifiers_2,quantifiers,,,,74
Most birds weren't there shocking the association.,There weren't most birds shocking the association.,blimp,existential_there_quantifiers_2,quantifiers,,,,75
Every cake wasn't there wasting away.,There wasn't every cake wasting away.,blimp,existential_there_quantifiers_2,quantifiers,,,,76
Each college campus isn't there alarming Irene.,There isn't each college campus alarming Irene.,blimp,existential_there_quantifiers_2,quantifiers,,,,77
Most glasses aren't there twisting.,There aren't most glasses twisting.,blimp,existential_there_quantifiers_2,quantifiers,,,,78
Every muffin wasn't there hurting drivers.,There wasn't every muffin hurting drivers.,blimp,existential_there_quantifiers_2,quantifiers,,,,79
Actors aren't explaining Eva doesn't leave herself.,Actors aren't explaining Eva doesn't leave themselves.,blimp,principle_A_domain_2,binding,,,,80
The Clintons think Cynthia wasn't leaving herself.,The Clintons think Cynthia wasn't leaving themselves.,blimp,principle_A_domain_2,binding,,,,81
Catherine isn't imagining Homer likes himself.,Catherine isn't imagining Homer likes herself.,blimp,principle_A_domain_2,binding,,,,82
Bruce says Amelia hasn't hugged herself.,Bruce says Amelia hasn't hugged himself.,blimp,principle_A_domain_2,binding,,,,83
A lot of waitresses say Dan cured himself.,A lot of waitresses say Dan cured themselves.,blimp,principle_A_domain_2,binding,,,,84
Dana says Carl works with himself.,Dana says Carl works with herself.,blimp,principle_A_domain_2,binding,,,,85
Benjamin is thinking Debra hated herself.,Benjamin is thinking Debra hated himself.,blimp,principle_A_domain_2,binding,,,,86
Grace explained Roger won't cure himself.,Grace explained Roger won't cure herself.,blimp,principle_A_domain_2,binding,,,,87
These teachers think Denise investigates herself.,These teachers think Denise investigates themselves.,blimp,principle_A_domain_2,binding,,,,88
Tracy wasn't thinking Steven was revealing himself.,Tracy wasn't thinking Steven was revealing herself.,blimp,principle_A_domain_2,binding,,,,89
That mountain astounds many grandmothers and the college campus astounds few displeased grandmothers.,That mountain astounds many sick grandmothers and the college campus astounds few displeased.,blimp,ellipsis_n_bar_2,ellipsis,,,,90
Most rabbits could embarrass few nieces of and every teacher could embarrass many busy nieces of.,Most rabbits could embarrass few displeased nieces of and every teacher could embarrass many busy.,blimp,ellipsis_n_bar_2,ellipsis,,,,91
The documentary about Monet had stunned a lot of handymen and that drawing of a cucumber had stunned a few unlucky handymen.,The documentary about Monet had stunned a lot of happy handymen and that drawing of a cucumber had stunned a few unlucky.,blimp,ellipsis_n_bar_2,ellipsis,,,,92
This teenager ascends one ladder and Frank's daughter ascends more hard ladder.,This teenager ascends one smooth ladder and Frank's daughter ascends more hard.,blimp,ellipsis_n_bar_2,ellipsis,,,,93
Candice's classmates have escaped from three doctors and Brian has escaped from more employed doctors.,Candice's classmates have escaped from three long doctors and Brian has escaped from more employed.,blimp,ellipsis_n_bar_2,ellipsis,,,,94
Valerie's grandfather isn't scanning one ex-wife and the lady's associates aren't scanning a few exposed ex-wife.,Valerie's grandfather isn't scanning one scared ex-wife and the lady's associates aren't scanning a few exposed.,blimp,ellipsis_n_bar_2,ellipsis,,,,95
Grace's ex-girlfriend went to several cafes and Amelia went to a few out in the open cafes.,Grace's ex-girlfriend went to several good cafes and Amelia went to a few out in the open.,blimp,ellipsis_n_bar_2,ellipsis,,,,96
Scott has investigated one mother and Judy has investigated a few lucky mother.,Scott has investigated one hopeful mother and Judy has investigated a few lucky.,blimp,ellipsis_n_bar_2,ellipsis,,,,97
Wendy's handyman hasn't passed three art galleries and Paula hasn't passed two black art galleries.,Wendy's handyman hasn't passed three white art galleries and Paula hasn't passed two black.,blimp,ellipsis_n_bar_2,ellipsis,,,,98
Some grandson of Kenneth would mess up one restaurant and Nina would mess up a lot popular restaurant.,Some grandson of Kenneth would mess up one small restaurant and Nina would mess up a lot popular.,blimp,ellipsis_n_bar_2,ellipsis,,,,99
Some lady is saying that some museums did stun her.,Some lady is saying that some museums did stun herself.,blimp,principle_A_domain_1,binding,,,,100
All ladies say that Claire listens to them.,All ladies say that Claire listens to themselves.,blimp,principle_A_domain_1,binding,,,,101
Julie explained that Richard praised her.,Julie explained that Richard praised herself.,blimp,principle_A_domain_1,binding,,,,102
Melinda has explained that many ladies haven't referenced her.,Melinda has explained that many ladies haven't referenced herself.,blimp,principle_A_domain_1,binding,,,,103
Ronald said that Alicia alarmed him.,Ronald said that Alicia alarmed himself.,blimp,principle_A_domain_1,binding,,,,104
Raymond wasn't explaining that Tamara insults him.,Raymond wasn't explaining that Tamara insults himself.,blimp,principle_A_domain_1,binding,,,,105
Chad thought that Erin attacks him.,Chad thought that Erin attacks himself.,blimp,principle_A_domain_1,binding,,,,106
The senators had imagined that Sandra was referencing them.,The senators had imagined that Sandra was referencing themselves.,blimp,principle_A_domain_1,binding,,,,107
Gregory wasn't explaining that Carrie noticed him.,Gregory wasn't explaining that Carrie noticed himself.,blimp,principle_A_domain_1,binding,,,,108
Kenneth hadn't said that Irene worked with him.,Kenneth hadn't said that Irene worked with himself.,blimp,principle_A_domain_1,binding,,,,109
Clyde was remembering what every patient would bike to.,Clyde was remembering that every patient would bike to.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,110
Rodney is concealing who some sketches didn't look like.,Rodney is concealing that some sketches didn't look like.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,111
Anne remembers who some man concealed.,Anne remembers that some man concealed.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,112
Larry is discovering what most actresses find.,Larry is discovering that most actresses find.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,113
Samuel investigates who every child conceals.,Samuel investigates that every child conceals.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,114
Gregory forgets who those people worked with.,Gregory forgets that those people worked with.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,115
A hospital should find out what that waiter was walking through.,A hospital should find out that that waiter was walking through.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,116
The Borgias know who every actress found.,The Borgias know that every actress found.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,117
Keith has figured out who some woman will talk to.,Keith has figured out that some woman will talk to.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,118
Becky investigates what that lady won't arrive at.,Becky investigates that that lady won't arrive at.,blimp,wh_vs_that_with_gap,filler_gap_dependency,,,,119
What actresses can Tonya hate and Lisa watch?,What can Tonya hate actresses and Lisa watch?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,120
What schools has Natalie biked to and Tanya annoyed?,What has Natalie biked to schools and Tanya annoyed?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,121
Which glaciers did Kenneth skate around and Jerry reveal?,Which did Kenneth skate around glaciers and Jerry reveal?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,122
What cashiers is Ellen shocking and the waitresses boring?,What is Ellen shocking cashiers and the waitresses boring?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,123
Whose art galleries could Phillip run around and Pamela describe?,Whose could Phillip run around art galleries and Pamela describe?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,124
What schools had Carl talked about and Helen thought about?,What had Carl talked about schools and Helen thought about?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,125
Whose legislatures are these couches confusing and Emily boycotting?,Whose are these couches confusing legislatures and Emily boycotting?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,126
Which steps was Gina climbing down and Walter finding?,Which was Gina climbing down steps and Walter finding?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,127
What doctors should Sabrina hate and Edward praise?,What should Sabrina hate doctors and Edward praise?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,128
Whose pies has Claire hidden and Jane taken?,Whose has Claire hidden pies and Jane taken?,blimp,coordinate_structure_constraint_complex_left_branch,island_effects,,,,129
It's herself that Claire was admiring.,It's herself that was admiring Claire.,blimp,principle_A_reconstruction,binding,,,,130
It's himself that Eric would notice.,It's himself that would notice Eric.,blimp,principle_A_reconstruction,binding,,,,131
It's herself who Katherine wasn't returning to.,It's herself who wasn't returning to Katherine.,blimp,principle_A_reconstruction,binding,,,,132
It's herself that Teresa isn't aggravating.,It's herself that isn't aggravating Teresa.,blimp,principle_A_reconstruction,binding,,,,133
It's himself that Scott wasn't alarming.,It's himself that wasn't alarming Scott.,blimp,principle_A_reconstruction,binding,,,,134
It's itself that that commentary aggravated.,It's itself that aggravated that commentary.,blimp,principle_A_reconstruction,binding,,,,135
It's himself who Raymond had healed.,It's himself who had healed Raymond.,blimp,principle_A_reconstruction,binding,,,,136
It's himself who Walter has questioned.,It's himself who has questioned Walter.,blimp,principle_A_reconstruction,binding,,,,137
It's herself who Sally should think about.,It's herself who should think about Sally.,blimp,principle_A_reconstruction,binding,,,,138
It's herself who a senator was visiting.,It's herself who was visiting a senator.,blimp,principle_A_reconstruction,binding,,,,139
Christina was wearing those dresses.,Christina was wearing those dress.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,140
Natalie wasn't researching these college campuses.,Natalie wasn't researching these college campus.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,141
Wendy discusses those doctors.,Wendy discusses those doctor.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,142
Sally hasn't known that waitress.,Sally hasn't known that waitresses.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,143
Natalie is finding these hats.,Natalie is finding these hat.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,144
Raymond wasn't alarming that customer.,Raymond wasn't alarming that customers.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,145
The Impressionists conceal these dancers.,The Impressionists conceal these dancer.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,146
Julie might flee from these teachers.,Julie might flee from these teacher.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,147
Stacy has hurt this guest.,Stacy has hurt this guests.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,148
Lucille wasn't kissing that teenager.,Lucille wasn't kissing that teenagers.,blimp,determiner_noun_agreement_1,determiner_noun_agreement,,,,149
Should Jodi ever talk?,Jodi should ever talk.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,150
Might Catherine ever implore Kristin's cousins to speak up?,Catherine might ever implore Kristin's cousins to speak up.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,151
Should Carrie ever answer?,Carrie should ever answer.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,152
Did this documentary ever worry Travis?,This documentary did ever worry Travis.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,153
Did Samuel ever suffer?,Samuel did ever suffer.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,154
Can Carmen ever hurt these guys?,Carmen can ever hurt these guys.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,155
Had Rachelle ever watched a lot of pedestrians?,Rachelle had ever watched a lot of pedestrians.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,156
Had some river ever condensed?,Some river had ever condensed.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,157
Have most boys ever regretted David intends to dislike documentaries?,Most boys have ever regretted David intends to dislike documentaries.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,158
Has Keith ever boasted about Nina?,Keith has ever boasted about Nina.,blimp,matrix_question_npi_licensor_present,npi_licensing,,,,159
Wendy's dermatologists aren't fun to return to.,Wendy's dermatologists aren't apt to return to.,blimp,tough_vs_raising_1,control_raising,,,,160
Tara wasn't easy to listen to.,Tara wasn't likely to listen to.,blimp,tough_vs_raising_1,control_raising,,,,161
Debra wasn't hard work to talk to.,Debra wasn't unlikely to talk to.,blimp,tough_vs_raising_1,control_raising,,,,162
Some gate wasn't fun to reveal.,Some gate wasn't soon to reveal.,blimp,tough_vs_raising_1,control_raising,,,,163
Diana is enjoyable to talk to.,Diana is apt to talk to.,blimp,tough_vs_raising_1,control_raising,,,,164
A child is interesting to work with.,A child is about to work with.,blimp,tough_vs_raising_1,control_raising,,,,165
These sisters of Angela aren't ready to cure.,These sisters of Angela aren't unlikely to cure.,blimp,tough_vs_raising_1,control_raising,,,,166
That glacier wasn't difficult to drop by.,That glacier wasn't likely to drop by.,blimp,tough_vs_raising_1,control_raising,,,,167
A lot of hospitals were boring to go to.,A lot of hospitals were apt to go to.,blimp,tough_vs_raising_1,control_raising,,,,168
Kendra's lawyers weren't fun to talk about.,Kendra's lawyers weren't bound to talk about.,blimp,tough_vs_raising_1,control_raising,,,,169
Some senator hadn't passed these white malls.,Some senator hadn't passed this white malls.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,170
Carrie wasn't insulting these content senators.,Carrie wasn't insulting this content senators.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,171
Laurie hadn't cleaned these bad jackets.,Laurie hadn't cleaned this bad jackets.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,172
All men escape from these uncertain actors.,All men escape from this uncertain actors.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,173
The Impressionists pass this yellow bank.,The Impressionists pass these yellow bank.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,174
Jeffrey isn't running around this new hospital.,Jeffrey isn't running around these new hospital.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,175
Many boys drive to those new banks.,Many boys drive to that new banks.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,176
Marie couldn't clean this old jacket.,Marie couldn't clean these old jacket.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,177
That hospital hasn't sold these green drawings.,That hospital hasn't sold this green drawings.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,178
The Balkans couldn't aggravate this upset senator.,The Balkans couldn't aggravate these upset senator.,blimp,determiner_noun_agreement_with_adj_2,determiner_noun_agreement,,,,179
Schools that have talked about William have not ever helped Benjamin.,Schools that have not talked about William have ever helped Benjamin.,blimp,sentential_negation_npi_scope,npi_licensing,,,,180
That adult's French teachers who had worried Vanessa have not ever revealed all gates.,That adult's French teachers who had not worried Vanessa have ever revealed all gates.,blimp,sentential_negation_npi_scope,npi_licensing,,,,181
Tamara's bosses that had argued about literature have not ever walked through the mountain.,Tamara's bosses that had not argued about literature have ever walked through the mountain.,blimp,sentential_negation_npi_scope,npi_licensing,,,,182
All doctors that might describe this waiter have not ever left.,All doctors that might not describe this waiter have ever left.,blimp,sentential_negation_npi_scope,npi_licensing,,,,183
Some guys' doctor that did criticize Mark had not ever laughed.,Some guys' doctor that did not criticize Mark had ever laughed.,blimp,sentential_negation_npi_scope,npi_licensing,,,,184
This ice cream that is confusing Benjamin does not ever condense.,This ice cream that is not confusing Benjamin does ever condense.,blimp,sentential_negation_npi_scope,npi_licensing,,,,185
Many rivers that are upsetting Judy have not ever vaporized.,Many rivers that are not upsetting Judy have ever vaporized.,blimp,sentential_negation_npi_scope,npi_licensing,,,,186
A lot of fathers of Heather who are healing Charles did not ever hope to kiss Eric.,A lot of fathers of Heather who are not healing Charles did ever hope to kiss Eric.,blimp,sentential_negation_npi_scope,npi_licensing,,,,187
This woman who was climbing down a ladder has not ever obligated Erin to drink.,This woman who was not climbing down a ladder has ever obligated Erin to drink.,blimp,sentential_negation_npi_scope,npi_licensing,,,,188
The brothers of Gary that had helped Ella could not ever declare every scarf to wrinkle.,The brothers of Gary that had not helped Ella could ever declare every scarf to wrinkle.,blimp,sentential_negation_npi_scope,npi_licensing,,,,189
Dancers who examine some commentary saw themselves.,Dancers who examine some commentary saw itself.,blimp,principle_A_c_command,binding,,,,190
Every woman who flees from Kenneth might attack herself.,Every woman who flees from Kenneth might attack himself.,blimp,principle_A_c_command,binding,,,,191
A lot of waiters that weren't observing Chad haven't revealed themselves.,A lot of waiters that weren't observing Chad haven't revealed himself.,blimp,principle_A_c_command,binding,,,,192
A lot of movie theaters that had bored Phillip aggravated themselves.,A lot of movie theaters that had bored Phillip aggravated himself.,blimp,principle_A_c_command,binding,,,,193
A lot of drivers that hadn't disturbed Thomas haven't questioned themselves.,A lot of drivers that hadn't disturbed Thomas haven't questioned himself.,blimp,principle_A_c_command,binding,,,,194
All associations that aren't boring Peter weren't discussing themselves.,All associations that aren't boring Peter weren't discussing himself.,blimp,principle_A_c_command,binding,,,,195
That skirt that isn't upsetting Elaine isn't scaring itself.,That skirt that isn't upsetting Elaine isn't scaring herself.,blimp,principle_A_c_command,binding,,,,196
This committee that shouldn't fire the guys had discussed itself.,This committee that shouldn't fire the guys had discussed themselves.,blimp,principle_A_c_command,binding,,,,197
Customers that had hurt Gregory hadn't seen themselves.,Customers that had hurt Gregory hadn't seen himself.,blimp,principle_A_c_command,binding,,,,198
These guests that haven't discovered Caroline had seen themselves.,These guests that haven't discovered Caroline had seen herself.,blimp,principle_A_c_command,binding,,,,199
That teacher didn't remember this child.,That teacher didn't remember these child.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,200
Donna visits this alumnus.,Donna visits these alumnus.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,201
Becca hadn't boycotted those oases.,Becca hadn't boycotted that oases.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,202
Wendy broke these teeth.,Wendy broke this teeth.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,203
High schools stun these men.,High schools stun this men.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,204
Every glove irritated this man.,Every glove irritated these man.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,205
Sarah talks to those children.,Sarah talks to that children.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,206
Waitresses were healing those people.,Waitresses were healing that people.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,207
Curtis might know this man.,Curtis might know these man.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,208
Bill questions these men.,Bill questions this men.,blimp,determiner_noun_agreement_irregular_2,determiner_noun_agreement,,,,209
